Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC,,
Mat-alpha-YLR392C  ,Mat-alpha,15301,YLR392C  ,S000004384,851108,ART10,Protein of unknown function that contains 2 PY motifs and is ubiquinated by Rsp5p; overexpression confers resistance to arsenite; green fluorescent protein (GFP)-fusion protein localizes it to the cytoplasm; non-essential gene,,MatAlpha_120_D8,,
Mat-alpha-YLR393W  ,Mat-alpha,15302,YLR393W  ,S000004385,851109,ATP10,"Mitochondrial inner membrane protein required for assembly of the F0 sector of mitochondrial F1F0 ATP synthase, interacts genetically with ATP6",,MatAlpha_120_D9,,
Mat-alpha-YLR006C  ,Mat-alpha,11561,YLR006C  ,S000003996,850692,SSK1,Cytoplasmic response regulator; part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; required for mitophagy; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate,,MatAlpha_120_E1,,
Mat-alpha-YLR410W  ,Mat-alpha,15319,YLR410W  ,S000004402,851126,VIP1,"Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; IP7 production is important for phosphate signaling; involved in cortical actin cytoskeleton function, and invasive pseudohyphal growth analogous to S. pombe asp1",,MatAlpha_120_E10,,
Mat-alpha-YLR412W  ,Mat-alpha,15320,YLR412W  ,S000004404,851130,BER1,"Protein involved in microtubule-related processes, N-acetylation; GFP-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS; YLR412W is not an essential gene; similar to Arabidopsis SRR1 gene",,MatAlpha_120_E11,,
Mat-alpha-YLR413W  ,Mat-alpha,15321,YLR413W  ,S000004405,851131,YLR413W,"Putative protein of unknown function; not an essential gene; YLR413W has a paralog, FAT3, that arose from the whole genome duplication",,MatAlpha_120_E12,,
Mat-alpha-YLR400W  ,Mat-alpha,15309,YLR400W  ,S000004392,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_120_E2,,
Mat-alpha-YLR401C  ,Mat-alpha,15310,YLR401C  ,S000004393,851117,DUS3,"Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region; forms nuclear foci upon DNA replication stress",,MatAlpha_120_E3,,
Mat-alpha-YLR402W  ,Mat-alpha,15311,YLR402W  ,S000004394,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_120_E4,,
Mat-alpha-YLR403W  ,Mat-alpha,15312,YLR403W  ,S000004395,851119,SFP1,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion",,MatAlpha_120_E5,,
Mat-alpha-YLR404W  ,Mat-alpha,15313,YLR404W  ,S000004396,851120,FLD1,"Seipin protein involved in lipid droplet morphology, number, and size; proposed to be involved in lipid metabolism; related to the human BSCL2 which is associated with lipodystrophy",,MatAlpha_120_E6,,
Mat-alpha-YLR405W  ,Mat-alpha,15314,YLR405W  ,S000004397,851121,DUS4,"Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus3p",,MatAlpha_120_E7,,
Mat-alpha-YLR407W  ,Mat-alpha,15316,YLR407W  ,S000004399,851123,YLR407W,Putative protein of unknown function; null mutant displays elongated buds and a large fraction of budded cells have only one nucleus,,MatAlpha_120_E8,,
Mat-alpha-YLR408C  ,Mat-alpha,15317,YLR408C  ,S000004400,851124,BLS1,Subunit of the BLOC-1 complex involved in endosomal maturation; green fluorescent protein (GFP)-fusion protein localizes to the endosome; YLR408C is not an essential gene,,MatAlpha_120_E9,,
Mat-alpha-YLR414C  ,Mat-alpha,15322,YLR414C  ,S000004406,851132,PUN1,Plasma membrane protein with a role in cell wall integrity; co-localizes with Sur7p in punctate membrane patches; null mutant displays decreased thermotolerance; transcription induced upon cell wall damage and metal ion stress,,MatAlpha_120_F1,,
Mat-alpha-YDR150W  ,Mat-alpha,13508,YDR150W  ,S000002557,851727,NUM1,"Protein required for nuclear migration, component of the mitochondria-ER-cortex-ancor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and motochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex",,MatAlpha_120_F10,,
Mat-alpha-YDR151C  ,Mat-alpha,13509,YDR151C  ,S000002558,851729,CTH1,"Member of the CCCH zinc finger family; similar to mammalian Tis11 protein, which activates transcription and also has a role in mRNA degradation; may function with Tis11p in iron homeostasis; CTH1 has a paralog, TIS11, that arose from the whole genome duplication",,MatAlpha_120_F11,,
Mat-alpha-YDR152W  ,Mat-alpha,13510,YDR152W  ,S000002559,851730,GIR2,Highly-acidic cytoplasmic RWD domain-containing protein of unknown function; forms a complex with Rbg2p; interacts with Rbg1p and Gcn1p; associates with translating ribosomes; putative intrinsically unstructured protein,,MatAlpha_120_F12,,
Mat-alpha-YLR415C  ,Mat-alpha,15323,YLR415C  ,S000004407,851133,YLR415C,Putative protein of unknown function; YLR415C is not an essential gene,,MatAlpha_120_F2,,
Mat-alpha-YLR416C  ,Mat-alpha,15324,YLR416C  ,S000004408,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_120_F3,,
Mat-alpha-YLR417W  ,Mat-alpha,15325,YLR417W  ,S000004409,851135,VPS36,Component of the ESCRT-II complex; contains the GLUE (GRAM Like Ubiquitin binding in EAP45) domain which is involved in interactions with ESCRT-I and ubiquitin-dependent sorting of proteins into the endosome,,MatAlpha_120_F4,,
Mat-alpha-YLR418C  ,Mat-alpha,15326,YLR418C  ,S000004410,851136,CDC73,"Component of the Paf1p complex; binds to and modulates the activity of RNA polymerases I and II; required for expression of certain genes, modification of some histones, and telomere maintenance; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay; protein abundance increases in response to DNA replication stress",,MatAlpha_120_F5,,
Mat-alpha-YLR421C  ,Mat-alpha,15328,YLR421C  ,S000004413,851140,RPN13,Subunit of the 19S regulatory particle of the 26S proteasome lid; acts as a ubiquitin receptor for the proteasome; null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; protein abundance increases in response to DNA replication stress,,MatAlpha_120_F6,,
Mat-alpha-YDR147W  ,Mat-alpha,13505,YDR147W  ,S000002554,851725,EKI1,"Ethanolamine kinase; primarily responsible for phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway; exhibits some choline kinase activity, thus contributing to phosphatidylcholine synthesis via the CDP-choline pathway; EKI1 has a paralog, CKI1, that arose from the whole genome duplication",,MatAlpha_120_F7,,
Mat-alpha-YDR148C  ,Mat-alpha,13506,YDR148C  ,S000002555,851726,KGD2,"Dihydrolipoyl transsuccinylase, component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated",,MatAlpha_120_F8,,
Mat-alpha-YDR149C  ,Mat-alpha,13507,YDR149C  ,S000002556,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene NUM1; null mutation blocks anaerobic growth",MatAlpha_120_F9,,
Mat-alpha-YDR153C  ,Mat-alpha,13511,YDR153C  ,S000002560,851731,ENT5,"Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p, clathrin adaptor complex AP-1, and clathrin",,MatAlpha_120_G1,,
Mat-alpha-YDR163W  ,Mat-alpha,13521,YDR163W  ,S000002570,851741,CWC15,"Non-essential protein involved in pre-mRNA splicing, component of a complex containing Cef1p; has similarity to S. pombe Cwf15p",,MatAlpha_120_G10,,
Mat-alpha-YDR165W  ,Mat-alpha,13523,YDR165W  ,S000002572,851743,TRM82,Catalytic subunit of a tRNA methyltransferase complex; Trm8p and Trm82p comprise an enzyme that catalyzes a methyl-transfer from S-adenosyl-l-methionine to the N(7) atom of guanine at position 46 in tRNA; Trm8 lacks catalytic activity if not bound to Trm82p; relocalizes to the cytosol in response to hypoxia,,MatAlpha_120_G11,,
Mat-alpha-YDR169C  ,Mat-alpha,13527,YDR169C  ,S000002576,851747,STB3,"Ribosomal RNA processing element (RRPE)-binding protein; involved in the glucose-induced transition from quiescence to growth; restricted to nucleus in quiescent cells, released into cytoplasm after glucose repletion; binds Sin3p; relative distribution to the nucleus increases upon DNA replication stress",,MatAlpha_120_G12,,
Mat-alpha-YDR154C  ,Mat-alpha,13512,YDR154C  ,S000002561,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant exhibits synthetic phenotype with alpha-synuclein",MatAlpha_120_G2,,
Mat-alpha-YDR155C  ,Mat-alpha,13513,YDR155C  ,S000002562,851733,CPR1,Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; protein abundance increases in response to DNA replication stress,,MatAlpha_120_G3,,
Mat-alpha-YDR156W  ,Mat-alpha,13514,YDR156W  ,S000002563,851734,RPA14,RNA polymerase I subunit A14,,MatAlpha_120_G4,,
Mat-alpha-YDR157W  ,Mat-alpha,13515,YDR157W  ,S000002564,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_120_G5,,
Mat-alpha-YDR158W  ,Mat-alpha,13516,YDR158W  ,S000002565,851736,HOM2,"Aspartic beta semi-aldehyde dehydrogenase, catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis",,MatAlpha_120_G6,,
Mat-alpha-YDR159W  ,Mat-alpha,13517,YDR159W  ,S000002566,851737,SAC3,Nuclear pore-associated protein; required for biogenesis of the small ribosomal subunit; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; similar to the human germinal center-associated nuclear protein (GANP),,MatAlpha_120_G7,,
Mat-alpha-YDR161W  ,Mat-alpha,13519,YDR161W  ,S000002568,851739,YDR161W,Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation; genetic interactions suggest a role in ER-associated protein degradation (ERAD),,MatAlpha_120_G8,,
Mat-alpha-YDR162C  ,Mat-alpha,13520,YDR162C  ,S000002569,851740,NBP2,"Protein involved in the HOG (high osmolarity glycerol) pathway; negatively regulates Hog1p by recruitment of phosphatase Ptc1p the Pbs2p-Hog1p complex; interacts with Bck1p and down regulates the cell wall integrity pathway; found in the nucleus and cytoplasm, contains an SH3 domain and a Ptc1p binding domain (PBM)",,MatAlpha_120_G9,,
Mat-alpha-YDR171W  ,Mat-alpha,13529,YDR171W  ,S000002578,851751,HSP42,Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress,,MatAlpha_120_H1,,
Mat-alpha-YDR185C  ,Mat-alpha,13544,YDR185C  ,S000002593,851766,UPS3,"Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations; UPS3 has a paralog, UPS2, that arose from the whole genome duplication",,MatAlpha_120_H10,,
Mat-alpha-YDR186C  ,Mat-alpha,13545,YDR186C  ,S000002594,851767,YDR186C,"Putative protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",,MatAlpha_120_H11,,
Mat-alpha-YDR191W  ,Mat-alpha,13550,YDR191W  ,S000002599,851772,HST4,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism",,MatAlpha_120_H12,,
Mat-alpha-YDR176W  ,Mat-alpha,13534,YDR176W  ,S000002583,851756,NGG1,"Transcriptional regulator involved in glucose repression of Gal4p-regulated genes; component of transcriptional adaptor and histone acetyltransferase complexes, the ADA complex, the SAGA complex, and the SLIK complex",,MatAlpha_120_H2,,
Mat-alpha-YDR178W  ,Mat-alpha,13536,YDR178W  ,S000002585,851758,SDH4,"Membrane anchor subunit of succinate dehydrogenase; involved in coupling the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; SDH4 has a paralog, SHH4, that arose from the whole genome duplication",,MatAlpha_120_H4,,
Mat-alpha-YDR179C  ,Mat-alpha,13537,YDR179C  ,S000002586,851759,CSN9,"Subunit of the Cop9 signalosome, which is required for deneddylation, or removal of the ubiquitin-like protein Rub1p from Cdc53p (cullin); involved in adaptation to pheromone signaling",,MatAlpha_120_H5,,
Mat-alpha-YDR179W-A,Mat-alpha,13538,YDR179W-A,S000002587,851760,YDR179W-A,Putative protein of unknown function,,MatAlpha_120_H6,,
Mat-alpha-YDR181C  ,Mat-alpha,13540,YDR181C  ,S000002589,851762,SAS4,"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p), which acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p",,MatAlpha_120_H7,,
Mat-alpha-YDR183W  ,Mat-alpha,13542,YDR183W  ,S000002591,851764,PLP1,"Protein that interacts with CCT (chaperonin containing TCP-1) complex and has a role in actin and tubulin folding; has weak similarity to phosducins, which are G-protein regulators",,MatAlpha_120_H8,,
Mat-alpha-YDR184C  ,Mat-alpha,13543,YDR184C  ,S000002592,851765,ATC1,Nuclear protein; possibly involved in regulation of cation stress responses and/or in the establishment of bipolar budding pattern; relative distribution to the nucleus decreases upon DNA replication stress,,MatAlpha_120_H9,,
Mat-alpha-YDR192C  ,Mat-alpha,13551,YDR192C  ,S000002600,851774,NUP42,FG-nucleoporin component of central core of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p,,MatAlpha_121_A1,,
Mat-alpha-YDR207C  ,Mat-alpha,13566,YDR207C  ,S000002615,851788,UME6,"Key transcriptional regulator of early meiotic genes, binds URS1 upstream regulatory sequence, couples metabolic responses to nutritional cues with initiation and progression of meiosis, forms complex with Ime1p, and also with Sin3p-Rpd3p",,MatAlpha_121_A10,,
Mat-alpha-YDR209C  ,Mat-alpha,13568,YDR209C  ,S000002617,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized gene YDR210W",MatAlpha_121_A11,,
Mat-alpha-YDR210W  ,Mat-alpha,13569,YDR210W  ,S000002618,851790,YDR210W,Predicted tail-anchored plasma membrane protein containing a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery,,MatAlpha_121_A12,,
Mat-alpha-YDR193W  ,Mat-alpha,13552,YDR193W  ,S000002601,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_121_A2,,
Mat-alpha-YDR195W  ,Mat-alpha,13554,YDR195W  ,S000002603,851776,REF2,"RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes; relocalizes to the cytosol in response to hypoxia",,MatAlpha_121_A3,,
Mat-alpha-YDR198C  ,Mat-alpha,13557,YDR198C  ,S000002606,851779,RKM2,"Ribosomal protein lysine methyltransferase, responsible for trimethylation of the lysine residue at position 3 of Rpl12Ap and Rpl12Bp",,MatAlpha_121_A4,,
Mat-alpha-YDR199W  ,Mat-alpha,13558,YDR199W  ,S000002607,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VPS64; computationally predicted to have thiol-disulfide oxidoreductase activity",MatAlpha_121_A5,,
Mat-alpha-YDR200C  ,Mat-alpha,13559,YDR200C  ,S000002608,851781,VPS64,"Protein required for cytoplasm to vacuole targeting of proteins; forms a complex with Far3p and Far7p to Far11p involved in recovery from pheromone-induced cell cycle arrest; mutant has increased aneuploidy tolerance; VPS64 has a paralog, FAR10, that arose from the whole genome duplication",,MatAlpha_121_A6,,
Mat-alpha-YDR203W  ,Mat-alpha,13562,YDR203W  ,S000002611,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_121_A7,,
Mat-alpha-YDR204W  ,Mat-alpha,13563,YDR204W  ,S000002612,851785,COQ4,"Protein with a role in ubiquinone (Coenzyme Q) biosynthesis, possibly functioning in stabilization of Coq7p; located on the matrix face of the mitochondrial inner membrane; component of a mitochondrial ubiquinone-synthesizing complex",,MatAlpha_121_A8,,
Mat-alpha-YDR206W  ,Mat-alpha,13565,YDR206W  ,S000002614,851787,EBS1,"Protein involved in translation inhibition and nonsense-mediated decay; interacts with cap binding protein Cdc33p and with Nam7p; localizes to P-bodies upon glucose starvation; mRNA abundance regulated by mRNA decay factors; EBS1 has a paralog, EST1, that arose from the whole genome duplication",,MatAlpha_121_A9,,
Mat-alpha-YDR213W  ,Mat-alpha,13572,YDR213W  ,S000002621,851799,UPC2,"Sterol regulatory element binding protein; induces transcription of sterol biosynthetic genes and of DAN/TIR gene products; relocates from intracellular membranes to perinuclear foci on sterol depletion; UPC2 has a paralog, ECM22, that arose from the whole genome duplication",,MatAlpha_121_B1,,
Mat-alpha-YDR221W  ,Mat-alpha,13580,YDR221W  ,S000002629,851807,GTB1,"Glucosidase II beta subunit, forms a complex with alpha subunit Rot2p; involved in removal of two glucose residues from N-linked glycans during glycoprotein biogenesis in the ER; relocalizes from ER to cytoplasm upon DNA replication stress",,MatAlpha_121_B10,,
Mat-alpha-YDR222W  ,Mat-alpha,13581,YDR222W  ,S000002630,851808,YDR222W,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YDR222W has a paralog, YLR225C, that arose from the whole genome duplication",,MatAlpha_121_B11,,
Mat-alpha-YDR223W  ,Mat-alpha,13582,YDR223W  ,S000002631,851809,CRF1,"Transcriptional corepressor; involved in repression of ribosomal protein (RP) gene transcription via the TOR signaling pathway which promotes accumulation of Crf1p in the nucleus; role in repression of RP genes varies by strain; CRF1 has a paralog, IFH1, that arose from the whole genome duplication",,MatAlpha_121_B12,,
Mat-alpha-YDR214W  ,Mat-alpha,13573,YDR214W  ,S000002622,851800,AHA1,Co-chaperone that binds to Hsp82p and activates its ATPase activity; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress,,MatAlpha_121_B2,,
Mat-alpha-YDR215C  ,Mat-alpha,13574,YDR215C  ,S000002623,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant displays elevated sensitivity to expression of a mutant huntingtin fragment or of alpha-synuclein",MatAlpha_121_B3,,
Mat-alpha-YDR216W  ,Mat-alpha,13575,YDR216W  ,S000002624,851802,ADR1,"Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization",,MatAlpha_121_B4,,
Mat-alpha-YDR217C  ,Mat-alpha,13576,YDR217C  ,S000002625,851803,RAD9,"DNA damage-dependent checkpoint protein; required for cell-cycle arrest in G1/S, intra-S, and G2/M; transmits checkpoint signal by activating Rad53p and Chk1p; hyperphosphorylated by Mec1p and Tel1p; multiple cyclin dependent kinase consensus sites and the C-terminal BRCT domain contribute to DNA damage checkpoint activation; Rad9p Chk1 Activating Domain (CAD) is phosphorylated at multiple sites by Cdc28p/Clb2p",,MatAlpha_121_B5,,
Mat-alpha-YDR218C  ,Mat-alpha,13577,YDR218C  ,S000002626,851804,SPR28,Sporulation-specific homolog of the yeast CDC3/10/11/12 family of bud neck microfilament genes; meiotic septin expressed at high levels during meiotic divisions and ascospore formation,,MatAlpha_121_B6,,
Mat-alpha-YDR219C  ,Mat-alpha,13578,YDR219C  ,S000002627,851805,MFB1,Mitochondria-associated F-box protein involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding,,MatAlpha_121_B7,,
Mat-alpha-YDR220C  ,Mat-alpha,13579,YDR220C  ,S000002628,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant exhibits synthetic phenotype with alpha-synuclein",MatAlpha_121_B8,,
Mat-alpha-YDR225W  ,Mat-alpha,13584,YDR225W  ,S000002633,851811,HTA1,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p",,MatAlpha_121_C1,,
Mat-alpha-YLR027C  ,Mat-alpha,11582,YLR027C  ,S000004017,850714,AAT2,"Cytosolic aspartate aminotransferase, involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells",,MatAlpha_121_C10,,
Mat-alpha-YML001W  ,Mat-alpha,10575,YML001W  ,S000004460,855012,YPT7,"Rab family GTPase; GTP-binding protein of the rab family; required for homotypic fusion event in vacuole inheritance, for endosome-endosome fusion; interacts with the cargo selection/retromer complex for retrograde sorting; similar to mammalian Rab7",,MatAlpha_121_C11,,
Mat-alpha-YMR266W  ,Mat-alpha,10852,YMR266W  ,S000004879,855308,RSN1,Membrane protein of unknown function; overexpression suppresses NaCl sensitivity of sro7 mutant cells by restoring sodium pump (Ena1p) localization to the plasma membrane,,MatAlpha_121_C12,,
Mat-alpha-YDR226W  ,Mat-alpha,13585,YDR226W  ,S000002634,851812,ADK1,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress",,MatAlpha_121_C2,,
Mat-alpha-YDR229W  ,Mat-alpha,13588,YDR229W  ,S000002637,851815,IVY1,"Phospholipid-binding protein that interacts with both Ypt7p and Vps33p, may partially counteract the action of Vps33p and vice versa, localizes to the rim of the vacuole as cells approach stationary phase",,MatAlpha_121_C3,,
Mat-alpha-YDR231C  ,Mat-alpha,13590,YDR231C  ,S000002639,851817,COX20,"Mitochondrial inner membrane protein, required for proteolytic processing of Cox2p and its assembly into cytochrome c oxidase",,MatAlpha_121_C4,,
Mat-alpha-YDR233C  ,Mat-alpha,13592,YDR233C  ,S000002641,851819,RTN1,"Reticulon protein; stabilizes membrane curvature; involved in nuclear pore assembly and maintenance of tubular ER morphology; mutant overexpressing RTN1 shows increase in tubular ER; interacts with exocyst subunit Sec6p, Yip3p, and Sbh1p; more abundant than Rtn2p; member of the RTNLA subfamily; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; RTN1 has a paralog, RTN2, that arose from the whole genome duplication",,MatAlpha_121_C5,,
Mat-alpha-YDR234W  ,Mat-alpha,13593,YDR234W  ,S000002642,851820,LYS4,"Homoaconitase, catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway",,MatAlpha_121_C6,,
Mat-alpha-YDR237W  ,Mat-alpha,13596,YDR237W  ,S000002645,851823,MRPL7,"Mitochondrial ribosomal protein of the large subunit; MRPL7 produces both YmL5 and YmL7, which are two different modified forms of the same protein",,MatAlpha_121_C7,,
Mat-alpha-YDR239C  ,Mat-alpha,13598,YDR239C  ,S000002647,851825,YDR239C,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments",,MatAlpha_121_C8,,
Mat-alpha-YDR241W  ,Mat-alpha,13600,YDR241W  ,S000002649,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 1% of ORF overlaps the verified gene SNU56; diploid mutant displays a weak budding pattern phenotype in a systematic assay",MatAlpha_121_C9,,
Mat-alpha-YNL330C  ,Mat-alpha,11114,YNL330C  ,S000005274,855386,RPD3,"Histone deacetylase; regulates transcription, silencing, autophagy and other processes by influencing chromatin remodeling; forms at least two different complexes which have distinct functions and members; Rpd3(L) recruitment to the subtelomeric region is regulated by interaction with the arginine methyltransferase, Hmt1p",,MatAlpha_121_D1,,
Mat-alpha-YER052C  ,Mat-alpha,10187,YER052C  ,S000000854,856778,HOM3,Aspartate kinase (L-aspartate 4-P-transferase); cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis,,MatAlpha_121_D10,,
Mat-alpha-YER057C  ,Mat-alpha,10193,YER057C  ,S000000859,856785,HMF1,"Member of the p14.5 protein family; functionally complements Mmf1p function when targeted to mitochondria; heat shock inducible; high-dosage growth inhibitor; forms a homotrimer in vitro; HMF1 has a paralog, MMF1, that arose from the whole genome duplication",,MatAlpha_121_D11,,
Mat-alpha-YER060W-A,Mat-alpha,10197,YER060W-A,S000002958,856789,FCY22,"Putative purine-cytosine permease, very similar to Fcy2p but cannot substitute for its function",,MatAlpha_121_D12,,
Mat-alpha-YOR305W  ,Mat-alpha,11602,YOR305W  ,S000005832,854482,RRG7,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); YOR305W is not an essential gene,,MatAlpha_121_D2,,
Mat-alpha-YOR369C  ,Mat-alpha,11666,YOR369C  ,S000005896,854551,RPS12,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S12, no bacterial homolog",,MatAlpha_121_D3,,
Mat-alpha-YDR103W  ,Mat-alpha,14038,YDR103W  ,S000002510,851680,STE5,"Pheromone-responsive MAPK scaffold protein; couples activation of the G-protein-coupled pheromone receptor to MAPK activation; intramolecular interaction of PH and VWA domains blocks activation of assembled signaling cascade components (Ste11p, Ste7p and Fus3p) under basal conditions; Gbeta-gamma (Ste4p-Ste18p)-dependent docking at the plasma membrane and binding of PI(4,5)P2 by the PH domain relieves autoinhibition, resulting in pheromone-dependent pathway activation",,MatAlpha_121_D4,,
Mat-alpha-YDR127W  ,Mat-alpha,14061,YDR127W  ,S000002534,851705,ARO1,"Pentafunctional arom protein, catalyzes steps 2 through 6 in the biosynthesis of chorismate, which is a precursor to aromatic amino acids",,MatAlpha_121_D5,,
Mat-alpha-YEL004W  ,Mat-alpha,10244,YEL004W  ,S000000730,856714,YEA4,Uridine diphosphate-N-acetylglucosamine (UDP-GlcNAc) transporter required for cell wall chitin synthesis; localized to the ER,,MatAlpha_121_D6,,
Mat-alpha-YEL029C  ,Mat-alpha,10270,YEL029C  ,S000000755,856683,BUD16,"Putative pyridoxal kinase, a key enzyme involved in pyridoxal 5'-phosphate synthesis, the active form of vitamin B6; required for genome integrity; involved in bud-site selection; similarity to yeast BUD17 and human pyridoxal kinase (PDXK)",,MatAlpha_121_D7,,
Mat-alpha-YER032W  ,Mat-alpha,10164,YER032W  ,S000000834,856754,FIR1,"Protein involved in 3' mRNA processing, interacts with Ref2p; potential Cdc28p substrate",,MatAlpha_121_D8,,
Mat-alpha-YER039C  ,Mat-alpha,10172,YER039C  ,S000000841,856761,HVG1,"Protein of unknown function; HVG1 has a paralog, VRG4, that arose from the whole genome duplication",,MatAlpha_121_D9,,
